Flat(id=228494026, fullUrl=https://www.cian.ru/rent/flat/228494026/, totalArea=20.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.76446, lng=37.60805)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=100))
Flat(id=227977984, fullUrl=https://www.cian.ru/rent/flat/227977984/, totalArea=43.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.754071, lng=37.585089)), bargainTerms=Flat.BargainTerms(price=85000, agentFee=50))
Flat(id=227004206, fullUrl=https://www.cian.ru/rent/flat/227004206/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=25))
Flat(id=227832269, fullUrl=https://www.cian.ru/rent/flat/227832269/, totalArea=155.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.736518, lng=37.61715)), bargainTerms=Flat.BargainTerms(price=420000, agentFee=0))
Flat(id=228343487, fullUrl=https://www.cian.ru/rent/flat/228343487/, totalArea=36.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.753154, lng=37.594036)), bargainTerms=Flat.BargainTerms(price=75000, agentFee=0))
Flat(id=228296543, fullUrl=https://www.cian.ru/rent/flat/228296543/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.78525, lng=37.560395)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=25))
Flat(id=228734956, fullUrl=https://www.cian.ru/rent/flat/228734956/, totalArea=18.7, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.867041, lng=37.709596)), bargainTerms=Flat.BargainTerms(price=27000, agentFee=50))
Flat(id=228438215, fullUrl=https://www.cian.ru/rent/flat/228438215/, totalArea=21.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.843985, lng=37.582439)), bargainTerms=Flat.BargainTerms(price=32995, agentFee=30))
Flat(id=228433683, fullUrl=https://www.cian.ru/rent/flat/228433683/, totalArea=24.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.840154, lng=37.582529)), bargainTerms=Flat.BargainTerms(price=37000, agentFee=0))
Flat(id=226896301, fullUrl=https://www.cian.ru/rent/flat/226896301/, totalArea=45.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.770806, lng=37.564212)), bargainTerms=Flat.BargainTerms(price=80000, agentFee=0))
Flat(id=224383209, fullUrl=https://www.cian.ru/rent/flat/224383209/, totalArea=19.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.845739, lng=37.582565)), bargainTerms=Flat.BargainTerms(price=30990, agentFee=20))
Flat(id=224379626, fullUrl=https://www.cian.ru/rent/flat/224379626/, totalArea=21.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.846194, lng=37.581146)), bargainTerms=Flat.BargainTerms(price=32980, agentFee=10))
Flat(id=228202673, fullUrl=https://www.cian.ru/rent/flat/228202673/, totalArea=22.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.846194, lng=37.581146)), bargainTerms=Flat.BargainTerms(price=34990, agentFee=50))
Flat(id=224385066, fullUrl=https://www.cian.ru/rent/flat/224385066/, totalArea=36.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.888952, lng=37.639779)), bargainTerms=Flat.BargainTerms(price=36990, agentFee=10))
Flat(id=197223627, fullUrl=https://www.cian.ru/rent/flat/197223627/, totalArea=20.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.612828, lng=37.353225)), bargainTerms=Flat.BargainTerms(price=19999, agentFee=0))
Flat(id=197263867, fullUrl=https://www.cian.ru/rent/flat/197263867/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.565865, lng=37.471021)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=225483866, fullUrl=https://www.cian.ru/rent/flat/225483866/, totalArea=11.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.788905, lng=37.594207)), bargainTerms=Flat.BargainTerms(price=30000, agentFee=0))
Flat(id=227390557, fullUrl=https://www.cian.ru/rent/flat/227390557/, totalArea=22.9, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.554236, lng=37.465838)), bargainTerms=Flat.BargainTerms(price=31000, agentFee=50))
Flat(id=228738553, fullUrl=https://www.cian.ru/rent/flat/228738553/, totalArea=22.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.843985, lng=37.582439)), bargainTerms=Flat.BargainTerms(price=33990, agentFee=10))
Flat(id=224075140, fullUrl=https://www.cian.ru/rent/flat/224075140/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.578737, lng=37.487487)), bargainTerms=Flat.BargainTerms(price=22000, agentFee=0))
Flat(id=228607892, fullUrl=https://www.cian.ru/rent/flat/228607892/, totalArea=13.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.863833, lng=37.539024)), bargainTerms=Flat.BargainTerms(price=27900, agentFee=50))
Flat(id=228436051, fullUrl=https://www.cian.ru/rent/flat/228436051/, totalArea=21.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.576635, lng=37.481648)), bargainTerms=Flat.BargainTerms(price=29990, agentFee=0))
Flat(id=228119926, fullUrl=https://www.cian.ru/rent/flat/228119926/, totalArea=15.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.703449, lng=37.507987)), bargainTerms=Flat.BargainTerms(price=29900, agentFee=50))
Flat(id=228497203, fullUrl=https://www.cian.ru/rent/flat/228497203/, totalArea=11.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.788905, lng=37.594207)), bargainTerms=Flat.BargainTerms(price=30000, agentFee=0))
Flat(id=228672912, fullUrl=https://www.cian.ru/rent/flat/228672912/, totalArea=36.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.888952, lng=37.639779)), bargainTerms=Flat.BargainTerms(price=33000, agentFee=20))
Flat(id=228519747, fullUrl=https://www.cian.ru/rent/flat/228519747/, totalArea=30.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.840154, lng=37.582529)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=228606892, fullUrl=https://www.cian.ru/rent/flat/228606892/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.764384, lng=37.548564)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=228213158, fullUrl=https://www.cian.ru/rent/flat/228213158/, totalArea=22.3, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.701394, lng=37.645995)), bargainTerms=Flat.BargainTerms(price=39400, agentFee=0))
Flat(id=224193616, fullUrl=https://www.cian.ru/rent/flat/224193616/, totalArea=28.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.80357, lng=37.591027)), bargainTerms=Flat.BargainTerms(price=40000, agentFee=15))
Flat(id=228519856, fullUrl=https://www.cian.ru/rent/flat/228519856/, totalArea=36.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=42000, agentFee=0))
Flat(id=228605120, fullUrl=https://www.cian.ru/rent/flat/228605120/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.840154, lng=37.582529)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=228601636, fullUrl=https://www.cian.ru/rent/flat/228601636/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.779079, lng=37.576708)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=226684011, fullUrl=https://www.cian.ru/rent/flat/226684011/, totalArea=27.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.869117, lng=37.473959)), bargainTerms=Flat.BargainTerms(price=46000, agentFee=0))
Flat(id=228573747, fullUrl=https://www.cian.ru/rent/flat/228573747/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.791668, lng=37.583391)), bargainTerms=Flat.BargainTerms(price=50000, agentFee=30))
Flat(id=227748976, fullUrl=https://www.cian.ru/rent/flat/227748976/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=0))
Flat(id=228296516, fullUrl=https://www.cian.ru/rent/flat/228296516/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.78525, lng=37.560395)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=25))
Flat(id=228296466, fullUrl=https://www.cian.ru/rent/flat/228296466/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.78525, lng=37.560395)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=25))
Flat(id=228291979, fullUrl=https://www.cian.ru/rent/flat/228291979/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.78525, lng=37.560395)), bargainTerms=Flat.BargainTerms(price=55000, agentFee=25))
Flat(id=227501609, fullUrl=https://www.cian.ru/rent/flat/227501609/, totalArea=32.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=57000, agentFee=0))
Flat(id=228291906, fullUrl=https://www.cian.ru/rent/flat/228291906/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.789391, lng=37.536823)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=50))
Flat(id=227634054, fullUrl=https://www.cian.ru/rent/flat/227634054/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.771641, lng=37.569926)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=0))
Flat(id=228523765, fullUrl=https://www.cian.ru/rent/flat/228523765/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=60000, agentFee=0))
Flat(id=228337105, fullUrl=https://www.cian.ru/rent/flat/228337105/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=50))
Flat(id=227863635, fullUrl=https://www.cian.ru/rent/flat/227863635/, totalArea=34.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.720393, lng=37.651807)), bargainTerms=Flat.BargainTerms(price=75000, agentFee=15))
Flat(id=212997819, fullUrl=https://www.cian.ru/rent/flat/212997819/, totalArea=38.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.730948, lng=37.64401)), bargainTerms=Flat.BargainTerms(price=100000, agentFee=0))
Flat(id=223093505, fullUrl=https://www.cian.ru/rent/flat/223093505/, totalArea=36.4, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.781626, lng=37.580894)), bargainTerms=Flat.BargainTerms(price=119000, agentFee=0))
Flat(id=228718557, fullUrl=https://www.cian.ru/rent/flat/228718557/, totalArea=44.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.710809, lng=37.605023)), bargainTerms=Flat.BargainTerms(price=130000, agentFee=0))
Flat(id=227662557, fullUrl=https://www.cian.ru/rent/flat/227662557/, totalArea=55.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.750028, lng=37.534397)), bargainTerms=Flat.BargainTerms(price=320000, agentFee=0))
Flat(id=228494726, fullUrl=https://www.cian.ru/rent/flat/228494726/, totalArea=34.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=228564910, fullUrl=https://www.cian.ru/rent/flat/228564910/, totalArea=34.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
Flat(id=228524680, fullUrl=https://www.cian.ru/rent/flat/228524680/, totalArea=12.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.863833, lng=37.539024)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=227983362, fullUrl=https://www.cian.ru/rent/flat/227983362/, totalArea=20.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.778861, lng=37.639572)), bargainTerms=Flat.BargainTerms(price=32000, agentFee=0))
Flat(id=167662748, fullUrl=https://www.cian.ru/rent/flat/167662748/, totalArea=28.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.676585, lng=37.634092)), bargainTerms=Flat.BargainTerms(price=40000, agentFee=99))
Flat(id=227976999, fullUrl=https://www.cian.ru/rent/flat/227976999/, totalArea=33.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.790787, lng=37.523204)), bargainTerms=Flat.BargainTerms(price=59000, agentFee=0))
Flat(id=177109503, fullUrl=https://www.cian.ru/rent/flat/177109503/, totalArea=42.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.681732, lng=37.54639)), bargainTerms=Flat.BargainTerms(price=65000, agentFee=0))
Flat(id=208935425, fullUrl=https://www.cian.ru/rent/flat/208935425/, totalArea=27.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.520395, lng=37.355165)), bargainTerms=Flat.BargainTerms(price=15000, agentFee=100))
Flat(id=224523158, fullUrl=https://www.cian.ru/rent/flat/224523158/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.792129, lng=37.660135)), bargainTerms=Flat.BargainTerms(price=22000, agentFee=90))
Flat(id=228592121, fullUrl=https://www.cian.ru/rent/flat/228592121/, totalArea=17.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.627793, lng=37.331836)), bargainTerms=Flat.BargainTerms(price=23000, agentFee=0))
Flat(id=227687416, fullUrl=https://www.cian.ru/rent/flat/227687416/, totalArea=25.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.869511, lng=37.473554)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=228488520, fullUrl=https://www.cian.ru/rent/flat/228488520/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.627793, lng=37.331836)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=228521704, fullUrl=https://www.cian.ru/rent/flat/228521704/, totalArea=25.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.843985, lng=37.582439)), bargainTerms=Flat.BargainTerms(price=25000, agentFee=0))
Flat(id=228499171, fullUrl=https://www.cian.ru/rent/flat/228499171/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.863833, lng=37.539024)), bargainTerms=Flat.BargainTerms(price=26000, agentFee=0))
Flat(id=228607980, fullUrl=https://www.cian.ru/rent/flat/228607980/, totalArea=23.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.844111, lng=37.576852)), bargainTerms=Flat.BargainTerms(price=27000, agentFee=50))
Flat(id=228598206, fullUrl=https://www.cian.ru/rent/flat/228598206/, totalArea=38.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.6495, lng=37.387846)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=0))
Flat(id=228498060, fullUrl=https://www.cian.ru/rent/flat/228498060/, totalArea=20.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.867071, lng=37.708832)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=100))
Flat(id=227326040, fullUrl=https://www.cian.ru/rent/flat/227326040/, totalArea=25.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.792129, lng=37.660135)), bargainTerms=Flat.BargainTerms(price=28000, agentFee=80))
Flat(id=228551710, fullUrl=https://www.cian.ru/rent/flat/228551710/, totalArea=14.2, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.843985, lng=37.582439)), bargainTerms=Flat.BargainTerms(price=30000, agentFee=0))
Flat(id=228600438, fullUrl=https://www.cian.ru/rent/flat/228600438/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.630146, lng=37.514572)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=40))
Flat(id=228260256, fullUrl=https://www.cian.ru/rent/flat/228260256/, totalArea=14.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.762541, lng=37.67272)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=223042023, fullUrl=https://www.cian.ru/rent/flat/223042023/, totalArea=21.5, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.584512, lng=37.604502)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=20))
Flat(id=228600469, fullUrl=https://www.cian.ru/rent/flat/228600469/, totalArea=21.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.737568, lng=37.642222)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=204294599, fullUrl=https://www.cian.ru/rent/flat/204294599/, totalArea=22.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.845739, lng=37.582565)), bargainTerms=Flat.BargainTerms(price=35000, agentFee=0))
Flat(id=228363850, fullUrl=https://www.cian.ru/rent/flat/228363850/, totalArea=18.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.741961, lng=37.545492)), bargainTerms=Flat.BargainTerms(price=38000, agentFee=0))
Flat(id=228150094, fullUrl=https://www.cian.ru/rent/flat/228150094/, totalArea=37.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.888952, lng=37.639779)), bargainTerms=Flat.BargainTerms(price=38000, agentFee=99))
Flat(id=223606372, fullUrl=https://www.cian.ru/rent/flat/223606372/, totalArea=19.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.846194, lng=37.581146)), bargainTerms=Flat.BargainTerms(price=43000, agentFee=0))
Flat(id=216876221, fullUrl=https://www.cian.ru/rent/flat/216876221/, totalArea=23.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.729209, lng=37.738252)), bargainTerms=Flat.BargainTerms(price=44900, agentFee=0))
Flat(id=228613316, fullUrl=https://www.cian.ru/rent/flat/228613316/, totalArea=35.0, geo=Flat.Geo(coordinates=Flat.Coordinates(lat=55.77916, lng=37.612686)), bargainTerms=Flat.BargainTerms(price=45000, agentFee=0))
